id_autoevaluacion,fecha_inicio,fecha_fin,estado,id_bodega,id_segmento,puntaje_final,id_nivel_sostenibilidad,estado_evidencia
34,2026-01-31 15:13:21.268927+00,,PENDIENTE,1,,,,
35,2026-01-31 20:38:23.993622+00,2026-01-31 20:40:44.42506+00,CANCELADA,12,1,,,
36,2026-01-31 20:40:45.316792+00,2026-01-31 20:50:54.244648+00,COMPLETADA,12,1,34,2,
37,2026-01-31 20:51:56.765457+00,2026-02-02 00:41:41.793944+00,COMPLETADA,12,1,51,4,
38,2026-01-31 20:52:37.203906+00,2026-01-31 20:55:59.895158+00,COMPLETADA,8,1,51,3,
39,2026-01-31 21:04:02.278794+00,2026-01-31 22:04:45.167065+00,COMPLETADA,8,1,51,4,
40,2026-01-31 22:04:58.841881+00,2026-01-31 23:08:38.019176+00,CANCELADA,8,1,,,
41,2026-01-31 23:08:38.932276+00,2026-01-31 23:19:28.777124+00,COMPLETADA,8,1,51,3,
42,2026-01-31 23:30:39.539607+00,2026-01-31 23:32:33.366133+00,COMPLETADA,8,1,51,3,
43,2026-01-31 23:34:10.81275+00,,PENDIENTE,8,,,,
44,2026-02-01 00:42:49.058138+00,2026-02-01 00:46:57.021776+00,COMPLETADA,13,3,50,10,
45,2026-02-01 00:47:48.583706+00,2026-02-01 02:04:36.176591+00,COMPLETADA,13,2,32,6,
46,2026-02-01 02:18:53.845594+00,2026-02-01 02:26:51.953551+00,COMPLETADA,13,1,36,2,
47,2026-02-02 00:42:47.246016+00,2026-02-02 00:51:06.493286+00,COMPLETADA,12,1,51,3,
48,2026-02-02 00:53:43.179031+00,2026-02-02 00:59:40.620005+00,COMPLETADA,12,1,51,3,
49,2026-02-02 01:04:18.058504+00,2026-02-02 01:05:37.490153+00,COMPLETADA,12,1,51,3,
50,2026-02-02 01:12:32.520957+00,2026-02-02 01:14:46.60746+00,CANCELADA,12,1,,,
51,2026-02-02 01:14:47.485826+00,2026-02-02 01:47:11.754375+00,COMPLETADA,12,1,51,3,
