id_bodega,razon_social,nombre_fantasia,cuit,inv_bod,inv_vin,calle,numeracion,id_localidad,telefono,email_institucional,fecha_registro
1,Bodega Ejemplo S.A.,Bodega Fantasía,30712345678,ABC123,DEF456,Calle Falsa,1234,1,2611234567,info@bodegaejemplo.com,2026-01-27 19:57:28.815479+00
2,Viñedos del Sol S.R.L.,Solaris Bodega,30587654321,XYZ789,GHI012,Avenida del Vino,5678,2,2617654321,contacto@solarisbodega.com,2026-01-27 21:45:59.676399+00
3,Bodegas y Viñedos Croto S.A.,Bodegas Croto,10293847561,,,Carril Chimba,S/N,481,2634456789,croto@gmail.com,2026-01-28 15:02:28.239117+00
5,Tertulias,Las Tertulias,23874659872,,,Los Torrentes,342,63,2654873643,lastertulias@bodega.com,2026-01-29 04:04:55.469397+00
6,bodegaslucio,LucioWines,20356987891,123456,123456,San Isidro,1300,10222,2634556644,luciowines@gmail.com,2026-01-30 03:20:16.089134+00
7,Bodega Test SA,Bodega Test,20123456789,,,Av San Martin,S/N,481,2614567890,bodega@test.com,2026-01-30 05:32:52.572259+00
8,silvinavinitos,silvinawines,20358764551,123456,123456,San Isidro,1400,10222,2634447788,silvinawines@gmail.com,2026-01-30 05:35:26.313421+00
9,winesgalo,bodegasGalo,20358964412,123456,123456,San Isidro,1500,10222,2634758899,galowines@gmial.com,2026-01-30 06:28:11.778597+00
10,Bodega Uno S.A.,Bodega Uno,12345678901,,,Calle UNO,1,1,2631234567,uno@gmail.com,2026-01-30 17:19:48.752677+00
11,sofiavinitos,sofiawines,21359631223,123456,123456,San Isidro,1500,10222,2634551100,sofiawines@gmail.com,2026-01-31 02:37:20.330566+00
12,matiasvinitos,bodegamatias,20358798541,123456,123456,Lavalle,1300,10222,2634550044,matiaswines@gmail.com,2026-01-31 04:14:18.308978+00
13,La Messi SA,Messi Sprite,21345673898,984756,834723,La Retortuña,23,4003,2634767676,vinosprite@bodega.com.ar,2026-02-01 00:39:16.032933+00
16,cocowines,bodegacoco,20358769941,123456,123456,lavalle,1300,10222,2634550015,cocobodega@gmail.com,2026-02-02 02:08:29.760249+00
18,BODEGA,Bodega Toro SA,27330947808,123457,123459,los retamos,125,50,2634270085,vinostoro@gmail.com,2026-02-02 02:48:45.007203+00
19,Las Silas SA,Las Silas,25369874563,963852,258369,lavalle,123,1436,125487856,sil@gmail.com,2026-02-02 04:02:54.910089+00
20,carloswines,bodegacarlos,20358759981,123456,123456,Lavalle,1700,10222,2634556688,bodegacarlos@gmail.com,2026-02-02 04:04:16.558309+00
21,LQNET SA,LAUFQUEN,12345678912,123456,654321,Falsa,123,9201,02615097778,agustin.cabrerafernandez@gmail.com,2026-02-02 20:55:14.635039+00
22,PepaWines,BODEGAPEPA,20358748991,123456,123456,Lavalle,2300,10222,2634552288,bodegapepa@gmail.com,2026-02-02 22:17:46.854021+00
23,Bodegas Vinacho S.A.,Bodegas Vinacho,01010101010,123456,123456,Mitre,1111,10040,12345678,vinacho@gmail.com,2026-02-02 22:18:04.623208+00
24,Bodega Saldena,Bodega Saldena,20451409332,INV232,INV232,San Juan,1321,6401,2634102612,saldena@bodega.com,2026-02-03 00:42:34.063718+00
25,Bodega temporal,temporal bodega,11111111111,INV111,INV222,San Martin,S/N,4357,2632111111,temporal@bodega.com,2026-02-03 00:55:26.22549+00
26,Si,BODEGAS TORVIC,20123456711,123VIn,321CIN,San Pedro,S/N,11674,2634151520,car@mail.com,2026-02-03 03:29:35.545437+00
27,HopeWines,BodegaHope,30356321231,123456,123456,Liniers,1500,10222,2634665897,HopeBodegas@gmail.com,2026-02-03 05:23:09.135014+00
28,FranciscoBodegas S.A,FranciscoWines,20358779981,A12345,123456,Lavalle,1800,10222,2634558877,FranciscoWines@gmail.com,2026-02-03 20:46:26.375558+00
29,luz,perez,20654789063,b12345,456987,ruiseñor,S/N,5749,2364587678,perez@gmail.com,2026-02-03 22:32:34.752317+00
30,Bodega,BODEGA JULIA,20302524154,b13456,234567,las pampitas,S/N,7254,2634552288,bodjuli@gmail.com,2026-02-04 04:41:04.340679+00
31,San Pio S.A,bodegasanpio,13300661212,A12345,B12345,San Martin,1300,10222,2634558810,sanpio@gmail.com,2026-02-06 00:20:23.869558+00
32,LA NUEVA BODEGA,NUEVABODEGA,20234565789,Q32451,H89876,AV. SAN MARTIN,S/N,481,2222222222,nuevab@gmail.com,2026-02-20 22:39:13.83326+00
33,ES AHORA,AHORA,21456356697,A78945,V12345,AV LOPEZ,S/N,3581,2634568798,nueva@gmail.com,2026-02-20 22:50:07.665524+00
34,BODEGATEST1,BODEGATEST1,20359879871,A12345,A12345,SAN ISIDRO,1114,10222,2634343434,bodegates1@gmail.com,2026-02-20 23:00:21.425905+00
35,BODEGA PRUEBA S.A.,BODEGA PRUEBA,10203040501,A12345,B12345,MAIPÚ,S/N,475,2634545454,bodegaprueba@gmail.com,2026-02-21 00:24:57.839898+00
36,BODEGAPRUEBA S.A.,BODEGA PRUEBA,10203040502,,,SOLER,111,13094,22222222,bodegaprueba@gmail.com,2026-02-21 00:31:41.495694+00
37,BODEGA PRUEBA 2 S.A.,BODEGA PRUEBA 2,22222222222,A22222,B22222,MITRE,444,476,2222222222,bodega@gmail.com,2026-02-21 01:20:33.240989+00
