id_respuesta,id_nivel_respuesta,id_indicador,id_autoevaluacion
929,43,1,34
936,66,8,35
937,63,7,35
938,69,9,35
940,75,11,35
941,62,7,36
943,65,8,36
948,68,9,36
950,74,11,36
955,77,12,36
961,92,17,36
968,101,20,36
980,107,22,36
985,110,23,36
1084,113,24,36
1094,125,28,36
1103,131,30,36
1127,143,34,36
1136,146,35,36
1152,155,38,36
1170,161,40,36
1174,164,41,36
1175,63,7,38
1177,66,8,38
1180,69,9,38
1184,75,11,38
1189,78,12,38
1196,93,17,38
1206,102,20,38
1215,111,23,38
1218,108,22,38
1235,126,28,38
1241,114,24,38
1252,132,30,38
1276,147,35,38
1282,144,34,38
1300,156,38,38
1324,162,40,38
1327,165,41,38
1328,63,7,39
1330,66,8,39
1335,69,9,39
1337,75,11,39
1342,78,12,39
1349,93,17,39
1358,102,20,39
1364,108,22,39
1381,111,23,39
1389,126,28,39
1393,132,30,39
1411,144,34,39
1424,147,35,39
1440,156,38,39
1460,162,40,39
1463,165,41,39
1473,114,24,39
1481,7,7,40
1483,63,7,41
1485,66,8,41
1488,69,9,41
1492,75,11,41
1497,78,12,41
1503,93,17,41
1517,102,20,41
1521,108,22,41
1529,111,23,41
1547,114,24,41
1556,126,28,41
1564,132,30,41
1589,144,34,41
1596,147,35,41
1609,156,38,41
1631,162,40,41
1635,165,41,41
1636,63,7,42
1638,66,8,42
1642,69,9,42
1644,75,11,42
1650,78,12,42
1659,93,17,42
1669,102,20,42
1677,108,22,42
1684,111,23,42
1698,126,28,42
1710,132,30,42
1711,114,24,42
1741,144,34,42
1753,147,35,42
1770,156,38,42
1785,162,40,42
1788,165,41,42
1789,44,1,44
1791,46,2,44
1794,57,5,44
1797,49,3,44
1803,61,7,44
1811,67,9,44
1816,64,8,44
1824,73,11,44
1832,71,10,44
1843,76,12,44
1861,80,13,44
1866,83,14,44
1890,93,17,44
1903,96,18,44
1943,99,19,44
1960,102,20,44
1970,105,21,44
1973,108,22,44
1978,109,23,44
2041,112,24,44
2061,115,25,44
2087,124,28,44
2105,127,29,44
2118,130,30,44
2137,133,31,44
2139,136,32,44
2224,142,34,44
2239,145,35,44
2257,148,36,44
2282,154,38,44
2311,160,40,44
2316,163,41,44
2317,44,1,45
2319,56,5,45
2322,61,7,45
2326,11,11,45
2336,68,9,45
2339,65,8,45
2351,81,13,45
2355,76,12,45
2372,91,17,45
2377,97,19,45
2408,100,20,45
2415,104,21,45
2419,106,22,45
2432,109,23,45
2450,131,30,45
2475,127,29,45
2484,125,28,45
2487,113,24,45
2520,142,34,45
2536,145,35,45
2573,154,38,45
2592,160,40,45
2596,163,41,45
2597,62,7,46
2599,66,8,46
2606,68,9,46
2608,73,11,46
2613,76,12,46
2622,92,17,46
2631,100,20,46
2640,106,22,46
2643,110,23,46
2664,132,30,46
2672,125,28,46
2673,114,24,46
